STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHM00065465,"AXIM, GH",2020/1/2,,80,90,76
GHM00065465,"AXIM, GH",2020/1/4,,80,90,
GHM00065465,"AXIM, GH",2020/1/5,,78,89,68
GHM00065465,"AXIM, GH",2020/1/6,,79,88,71
GHM00065465,"AXIM, GH",2020/1/7,,80,,73
GHM00065465,"AXIM, GH",2020/1/9,,85,89,
GHM00065465,"AXIM, GH",2020/1/10,,85,88,76
GHM00065465,"AXIM, GH",2020/1/11,,84,,
GHM00065465,"AXIM, GH",2020/1/14,,83,88,
GHM00065465,"AXIM, GH",2020/1/15,,83,,76
GHM00065465,"AXIM, GH",2020/1/16,,85,88,
GHM00065465,"AXIM, GH",2020/1/17,,85,89,77
GHM00065465,"AXIM, GH",2020/1/19,,83,88,
GHM00065465,"AXIM, GH",2020/1/20,0.08,85,,78
GHM00065465,"AXIM, GH",2020/1/21,0,87,91,
GHM00065465,"AXIM, GH",2020/1/22,,83,89,77
GHM00065465,"AXIM, GH",2020/1/23,,84,90,79
GHM00065465,"AXIM, GH",2020/1/24,,85,92,81
GHM00065465,"AXIM, GH",2020/1/25,,83,93,78
GHM00065465,"AXIM, GH",2020/1/26,,83,92,76
GHM00065465,"AXIM, GH",2020/1/27,,82,89,76
GHM00065465,"AXIM, GH",2020/1/28,,81,89,77
GHM00065465,"AXIM, GH",2020/1/29,,85,89,
GHM00065465,"AXIM, GH",2020/1/30,,85,90,81
GHM00065465,"AXIM, GH",2020/1/31,,85,91,
GHM00065465,"AXIM, GH",2020/2/1,,83,91,76
GHM00065465,"AXIM, GH",2020/2/2,,83,,79
GHM00065465,"AXIM, GH",2020/2/3,,86,90,
GHM00065465,"AXIM, GH",2020/2/4,,90,,
GHM00065465,"AXIM, GH",2020/2/5,,86,89,
GHM00065465,"AXIM, GH",2020/2/7,,86,91,
GHM00065465,"AXIM, GH",2020/2/9,,84,90,79
GHM00065465,"AXIM, GH",2020/2/10,,84,88,82
GHM00065465,"AXIM, GH",2020/2/11,,85,90,80
GHM00065465,"AXIM, GH",2020/2/13,,85,92,78
GHM00065465,"AXIM, GH",2020/2/14,,83,90,78
GHM00065465,"AXIM, GH",2020/2/15,,84,90,78
GHM00065465,"AXIM, GH",2020/2/16,,85,,78
GHM00065465,"AXIM, GH",2020/2/18,,87,93,83
GHM00065465,"AXIM, GH",2020/2/19,,84,92,
GHM00065465,"AXIM, GH",2020/2/20,,84,91,78
GHM00065465,"AXIM, GH",2020/2/21,,86,92,82
GHM00065465,"AXIM, GH",2020/2/24,,87,92,83
GHM00065465,"AXIM, GH",2020/2/28,,85,91,83
GHM00065465,"AXIM, GH",2020/3/1,,87,91,84
GHM00065465,"AXIM, GH",2020/3/2,,88,91,
GHM00065465,"AXIM, GH",2020/3/4,1.69,82,91,73
GHM00065465,"AXIM, GH",2020/3/5,0,87,,
GHM00065465,"AXIM, GH",2020/3/6,1.26,81,85,73
GHM00065465,"AXIM, GH",2020/3/7,0,79,91,
GHM00065465,"AXIM, GH",2020/3/9,,85,92,82
GHM00065465,"AXIM, GH",2020/3/10,,85,90,79
GHM00065465,"AXIM, GH",2020/3/11,,83,88,79
GHM00065465,"AXIM, GH",2020/3/12,,83,89,78
GHM00065465,"AXIM, GH",2020/3/13,,86,90,
GHM00065465,"AXIM, GH",2020/3/14,,80,89,
GHM00065465,"AXIM, GH",2020/3/15,1.42,83,90,75
GHM00065465,"AXIM, GH",2020/3/16,0,84,,78
GHM00065465,"AXIM, GH",2020/3/17,,85,89,82
GHM00065465,"AXIM, GH",2020/3/18,,85,89,82
GHM00065465,"AXIM, GH",2020/3/19,,83,89,82
GHM00065465,"AXIM, GH",2020/3/20,,84,89,81
GHM00065465,"AXIM, GH",2020/3/21,,86,90,80
GHM00065465,"AXIM, GH",2020/3/22,,85,90,81
GHM00065465,"AXIM, GH",2020/3/24,,78,80,
GHM00065465,"AXIM, GH",2020/3/25,,80,,
GHM00065465,"AXIM, GH",2020/3/26,,80,86,75
GHM00065465,"AXIM, GH",2020/3/27,,82,,77
GHM00065465,"AXIM, GH",2020/3/28,,86,,
GHM00065465,"AXIM, GH",2020/3/29,,83,88,79
GHM00065465,"AXIM, GH",2020/3/30,,84,87,
GHM00065465,"AXIM, GH",2020/3/31,,84,,80
GHM00065465,"AXIM, GH",2020/4/2,0.98,77,,71
GHM00065465,"AXIM, GH",2020/4/3,0,84,89,78
GHM00065465,"AXIM, GH",2020/4/6,,86,90,
GHM00065465,"AXIM, GH",2020/4/7,,83,90,78
GHM00065465,"AXIM, GH",2020/4/8,,88,92,
GHM00065465,"AXIM, GH",2020/4/9,,83,90,78
GHM00065465,"AXIM, GH",2020/4/10,,82,90,
GHM00065465,"AXIM, GH",2020/4/11,,83,90,75
GHM00065465,"AXIM, GH",2020/4/13,,85,90,78
GHM00065465,"AXIM, GH",2020/4/14,,87,92,
GHM00065465,"AXIM, GH",2020/4/15,,87,91,
GHM00065465,"AXIM, GH",2020/4/16,,85,,
GHM00065465,"AXIM, GH",2020/4/17,,82,85,
GHM00065465,"AXIM, GH",2020/4/18,,84,,78
GHM00065465,"AXIM, GH",2020/4/19,,85,90,82
GHM00065465,"AXIM, GH",2020/4/20,0.39,87,,80
GHM00065465,"AXIM, GH",2020/4/21,0,83,89,
GHM00065465,"AXIM, GH",2020/4/22,,79,88,
GHM00065465,"AXIM, GH",2020/4/27,,82,89,
GHM00065465,"AXIM, GH",2020/4/29,,84,90,77
