Date,Price,Open,High,Low,Vol.,Change %
2017/1/30,4.3157,4.28,4.39,4.255,,-0.33%
2017/1/27,4.33,4.28,4.36,4.26,,2.53%
2017/1/26,4.2232,4.28,4.375,4.2566,,0.00%
2017/1/25,4.2232,4.36,4.3613,4.245,,-0.20%
2017/1/24,4.2316,4.36,4.3735,4.244,,0.46%
2017/1/23,4.2122,4.28,4.3725,4.2461,,-2.89%
2017/1/20,4.3375,4.28,4.3725,4.255,,1.23%
2017/1/19,4.285,4.2775,4.3506,4.2461,,1.53%
2017/1/18,4.2206,4.2955,4.3425,4.24,,-0.30%
2017/1/17,4.2332,4.3,4.3258,4.23,,-0.63%
2017/1/16,4.26,4.3,4.3075,4.22,,0.47%
2017/1/13,4.24,4.3,4.305,4.2108,,0.00%
2017/1/12,4.24,4.24,4.305,4.215,,1.40%
2017/1/11,4.1816,4.3,4.3058,4.215,,-1.22%
2017/1/10,4.2332,4.3,4.3058,4.21,,-0.20%
2017/1/9,4.2416,4.3,4.34,4.219,,0.04%
2017/1/6,4.24,4.3,4.315,4.215,,0.30%
2017/1/5,4.2274,4.3038,4.3236,4.215,,0.75%
2017/1/4,4.1958,4.3038,4.315,4.131,,-1.90%
2017/1/3,4.2771,4.3038,4.38,4.205,,0.00%
2017/1/2,4.2771,4.2771,4.2771,4.2771,,0.00%
2016/12/30,4.2771,4.3038,4.3135,4.15,,0.00%
2016/12/29,4.2771,4.3038,4.3135,4.135,,0.00%
2016/12/28,4.2771,4.3038,4.4,4.175,,0.00%
2016/12/27,4.2771,4.3038,4.3038,4.3038,,0.00%
2016/12/26,4.2771,4.3038,4.3038,4.3038,,-0.53%
2016/12/23,4.3,4.3038,4.3275,4.155,,0.54%
2016/12/22,4.2771,4.3038,4.325,4.145,,1.35%
2016/12/21,4.22,4.225,4.3038,4.14,,2.93%
2016/12/20,4.1,4.3038,4.3436,4.125,,-4.14%
2016/12/19,4.2771,4.125,4.4,4.055,,0.00%
2016/12/16,4.2771,4.125,4.3038,4.105,,0.00%
2016/12/15,4.2771,4.2188,4.3038,4.089,,4.57%
2016/12/14,4.09,4.2188,4.2288,4.05,,-0.24%
2016/12/13,4.1,4.2188,4.2387,3.994,,-1.32%
2016/12/12,4.155,4.2188,4.3286,4.14,,-2.85%
2016/12/9,4.2771,4.4,4.4,4.125,,0.00%
2016/12/8,4.2771,4.4,4.4,4.14,,0.00%
2016/12/7,4.2771,4.3038,4.4,4.18,,-0.30%
2016/12/6,4.29,4.315,4.3975,4.155,,0.30%
2016/12/5,4.2771,4.325,4.4125,4.141,,4.32%
2016/12/2,4.1,4.2,4.2375,4.1625,,-3.07%
2016/12/1,4.23,4.2,4.445,4.13,,1.18%
2016/11/30,4.1806,4.2,4.48,4.145,,-0.10%
2016/11/29,4.1848,4.2,4.3851,4.045,,-0.30%
2016/11/28,4.1974,4.05,4.298,4,,1.63%
2016/11/25,4.13,4.05,4.265,3.9535,,0.98%
2016/11/24,4.09,4.05,4.2161,3.9842,,3.02%
2016/11/23,3.97,4.05,4.13,3.98,,0.10%
2016/11/22,3.966,4.05,4.1177,3.9626,,-0.10%
2016/11/21,3.97,3.983,4.0893,3.9434,,0.66%
2016/11/18,3.9441,3.983,4.08,3.9336,,-0.30%
2016/11/17,3.956,3.983,4.0625,3.923,,-0.25%
2016/11/16,3.966,3.983,4.0475,3.9375,,2.49%
2016/11/15,3.8695,3.9825,4.0575,3.9248,,-0.20%
2016/11/14,3.8773,3.9825,4.06,3.9013,,-2.97%
2016/11/11,3.996,3.9825,4.0499,3.9344,,1.36%
2016/11/10,3.9422,3.9825,4.0504,3.912,,-0.15%
2016/11/9,3.948,3.9825,4.0425,3.9575,,-0.20%
2016/11/8,3.956,3.9925,4.0038,3.96,,0.10%
2016/11/7,3.952,3.975,4.0038,3.9475,,-0.20%
2016/11/4,3.96,3.96,4.0246,3.7549,,2.08%
2016/11/3,3.8793,3.975,4.0424,3.9065,,0.10%
2016/11/2,3.8754,3.97,4.0409,3.9277,,-0.10%
2016/11/1,3.8793,3.975,4.0383,3.8825,,-2.28%
2016/10/31,3.97,4.0006,4.0373,3.9433,,-0.03%
2016/10/28,3.971,4.0006,4.0336,3.9378,,0.28%
2016/10/27,3.96,4.0006,4.0328,3.9195,,0.20%
2016/10/26,3.952,4.0006,4.0373,3.904,,1.92%
2016/10/25,3.8774,4.0006,4.0323,3.9179,,0.00%
2016/10/24,3.8774,4.0006,4.0451,3.904,,-0.20%
2016/10/21,3.8852,3.965,4.0378,3.9095,,-0.10%
2016/10/20,3.8891,4,4.0599,3.8541,,0.05%
2016/10/19,3.8871,4,4.0323,3.9065,,0.40%
2016/10/18,3.8716,3.975,4.0323,3.9065,,-2.48%
2016/10/17,3.97,4,4,3.9295,,0.90%
2016/10/14,3.9344,4,4.0002,3.9467,,-0.10%
2016/10/13,3.9383,4,4,3.9195,,-0.10%
2016/10/12,3.9422,4,4,3.905,,-0.10%
2016/10/11,3.9461,4,4,3.935,,1.08%
2016/10/10,3.9038,4,4.0333,3.9054,,0.18%
2016/10/7,3.8969,4,4.0323,3.8544,,0.30%
2016/10/6,3.8852,4,4.0323,3.9013,,-0.30%
2016/10/5,3.8969,4,4.0323,3.8544,,-0.66%
2016/10/4,3.9227,4,4,3.9409,,-0.69%
2016/10/3,3.95,4,4,3.9195,,0.40%
2016/9/30,3.9344,4,4.0025,3.9467,,-0.20%
2016/9/29,3.9422,4,4.0175,3.9075,,-0.20%
2016/9/28,3.95,3.9504,4.0101,3.9181,,-0.05%
